SRBT,"'"Tin One Mining'"","'"Tin One Mining'" JSC","","",Republic of Kazakhstan,North-Kazakhstan region,Syrymbey industrial zone building 1,www.tinone.kz/,https://logo.clearbit.com/www.tinone.kz,"Zinc, lead and tin production",46,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
MREK,"'"Mangistau Regional Electricity Network Company'"","'"Mangistau Regional Electricity Network Company'"  JSC","","",building 97,Aktau,130000 Republic of Kazakhstan,http://www.mrek.kz/,https://logo.clearbit.com/www.mrek.kz,"purchase, transport and distribution of electrical energy in Mangistau region (excluding Aktau city)",47,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KATR,Atameken-Agro,Atameken-Agro JSC,"","",Building 30,industrial zone Eastern,020000 Republic of Kazakhstan,http://atameken-agro.com/,https://logo.clearbit.com/atameken-agro.com,"production, procurement and sale of grain",48,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
RGBR,RG Brands,RG Brands JSC,"","",212b Raiymbek ave.,A05A5C7,A05A5C7 Republic of Kazakhstan,http://www.rgbrands.com/,https://logo.clearbit.com/www.rgbrands.com,"production and sale of natural juices, drinks; provision of marketing services",49,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KOZN,KoZhaN,KoZhaN JSC,"","",Republic of Kazakhstan,Atyrau region,Baktygerey Kulmanov 105,,,"exploration, production of hydrocarbons",50,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
SHZN,ShalkiyaZinc LTD,ShalkiyaZinc LTD JSC,"","",32 Mustafa Shokai st.,Zhanakorgan district,Kyzylorda region 120302 Republic of Kazakhstan,http://www.zinc.kz/,https://logo.clearbit.com/www.zinc.kz,extraction of polymetallic ores,51,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KZIK,"'"Kazakhstan Housing Company'"","JSC '"Kazakhstan Housing Company'"","","",Republic of Kazakhstan,Astana,Mangilik El Ave. 55a,khc.kz/ru,https://logo.clearbit.com/khc.kz,"borrowing operations (arrangement of cash credits on the terms of payment, urgency and payback), factoring operations (acquiring of rights to demand payment from purchaser of goods (works, services) with assumption of the payment default risk) on the basis of license No. 28 of the National Bank of Kazakhstan dated September 23, 2002; and other operations in accordance with the Company charter",52,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
SAS_,S.A.S.,S.A.S. JSC,"","",1/8 Kabdolov st.,050062,050062 Republic of Kazakhstan,http://www.armada.kz/,https://logo.clearbit.com/www.armada.kz,"leasing of offices, trading and storage facilities",53,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
KSNF,Caspi neft,Caspi neft JSC,"","",15v,Atyrau,060009 Republic of Kazakhstan,,,,54,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
SHUK,"'"Shubarkol Komir'"","JSC '"Shubarkol Komir'"","","",Republic of Kazakhstan,Karaganda,Asfaltnaya str. 18,www.erg.kz/,https://logo.clearbit.com/www.erg.kz,"coal mining and treatment, construction rock mining",55,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
MMGZ,"'"Mangistaumunaigas'"","'"Mangistaumunaigas'" JSC","","",1,Aktau,130000 Republic of Kazakhstan,http://www.mmg.kz/,https://logo.clearbit.com/www.mmg.kz,"extraction and transportation of oil and gas; oil refining, sale of oil and petroleum products; exploration and  development of oil and gas deposit sites",56,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
LNPT,"'"KMK Munai'"","JSC '"KMK Munai'"","","",Republic of Kazakhstan,Aktobe,Abulkhair Khan ave. 42а,http://www.kmkmunai.com/,https://logo.clearbit.com/www.kmkmunai.com,"search, exploration, production and sale of hydrocarbon raw materials",57,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
ASTL,ASTEL,ASTEL JSC,"","",Republic of Kazakhstan,Almaty,Mametova 67b,http://www.astel.kz/,https://logo.clearbit.com/www.astel.kz,,58,2025-05-17 02:49:38.312164+06,2025-05-17 02:49:38.312164+06,f
